watershed_group_code,wcrp_barrier_type,n_assessed_barrier,n_assessed_total,pct_assessed_barriers
BULK,DAM,23,24,95.8
BULK,RAIL,5,9,55.6
BULK,"ROAD, DEMOGRAPHIC",197,244,80.7
BULK,"ROAD, RESOURCE/OTHER",432,689,62.7
BULK,TRAIL,0,2,0.0
ELKR,DAM,9,10,90.0
ELKR,RAIL,5,14,35.7
ELKR,"ROAD, DEMOGRAPHIC",39,56,69.6
ELKR,"ROAD, RESOURCE/OTHER",155,274,56.6
ELKR,TRAIL,0,2,0.0
HORS,DAM,7,9,77.8
HORS,"ROAD, DEMOGRAPHIC",28,37,75.7
HORS,"ROAD, RESOURCE/OTHER",138,215,64.2
LNIC,DAM,30,33,90.9
LNIC,"ROAD, DEMOGRAPHIC",26,30,86.7
LNIC,"ROAD, RESOURCE/OTHER",52,68,76.5
