user_barrier_anthropogenic_id,blue_line_key,downstream_route_measure,barrier_type,barrier_name,watershed_group_code,reviewer_name,review_date,source,notes
1,356334818,3697,WEIR,,LNIC,FINS CONSULTING,2021-01-01,field assessment,0.8m high and 5m wide concrete weir with a concrete foot is impassable to fish. Located 25m u/s of culvert
3,356348405,211,CULVERT,,QUES,AL,2023-05-15,local knowledge,Long culvert based on information provided by Bo and Jake at LDN workshop.
4,356348405,3235,CULVERT,,QUES,AL,2023-05-15,local knowledge,"Culvert based on information provided by participants at LDN workshop (Chris Elden, West Fraser)."
5,356136908,163,CULVERT,,BOWR,AL,2023-05-15,local knowledge,"Ditch line crossing based on information provided by participants at LDN workshop (Chris Elden, West Fraser)."
11,356354716,611,SEDIMENT PLUG,,QUES,MC,2025-01-09,,"Sediment plug is located on Cedar Creek, 430 m upstream from Quesnel Lake"
12,356327433,2535,BEAVER DAM,,UTRE,MC,2025-06-04,WSP report/Workshop,Impassable beaver dam
13,356353424,3367,BEAVER DAM,,UTRE,MC,2025-06-04,WSP report/Workshop,Impassable beaver dam
14,356328051,2550,LOG JAM,,MIDR,MC,2025-06-04,WSP report/Workshop,Impassable log jam
15,356362032,26650,LOG JAM,,TAKL,MC,2025-06-04,DFO personal correspondence,Impassable log jam
16,356293242,449,BEAVER DAM,,MIDR,MC,2025-06-04,DFO personal correspondence,Impassable beaver dam
17,356327433,3400,BEAVER DAM,,UTRE,MC,2025-06-04,DFO personal correspondence,Impassable beaver dam
18,356338407,450,BEAVER DAM,,MIDR,MC,2025-06-04,DFO personal correspondence,Impassable beaver dam
19,356299548,194,CULVERT,,SHUL,LB,2025-11-10,field assessment,culvert barrier located 50 m downstream of 198905
20,356349907,2713,CULVERT,,BONP,LB,2026-02-20,,"Unmapped road crossing (appears to be a driveway), no modelled culvert present"
