modelled_crossing_id,structure,watershed_group_code,reviewer_name,review_date,source,notes
100151,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,
100553,NONE,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,no road
101833,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,
102295,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,
200073,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
200080,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
200141,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
200223,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
200772,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201136,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201160,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201772,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
201921,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201927,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
202405,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
202554,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
202812,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
203158,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
203306,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
203655,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
204057,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
204059,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
205052,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
205157,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
205297,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
205382,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
205573,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
205615,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
206263,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
206309,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,
206560,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500499,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
